name,BEDS code,district code,district,county code,county,NCES code
BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,161601040000,161601,BRUSHTON-MOIRA CSD,16,FRANKLIN,3605820
BRUSHTON-MOIRA HIGH SCHOOL,161601040002,161601,BRUSHTON-MOIRA CSD,16,FRANKLIN,
SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,161801040000,161801,ST REGIS FALLS CSD,16,FRANKLIN,3627990
SAINT REGIS FALLS CENTRAL SCHOOL,161801040001,161801,ST REGIS FALLS CSD,16,FRANKLIN,
FRANKLIN-ESSEX-HAMILTON BOCES,169000000000,169000,BOCES FRANKLIN-ESSEX-HAMILTON,16,FRANKLIN,3680340
WHEELERVILLE SCHOOL,170301020001,170301,WHEELERVILLE UFSD,17,FULTON,
WHEELERVILLE UNION FREE SCHOOL DISTRICT,170301020000,170301,WHEELERVILLE UFSD,17,FULTON,3631200
MCNAB-MECO SCHOOL,170500010006,170500,GLOVERSVILLE CITY SD,17,FULTON,
GLOVERSVILLE MIDDLE SCHOOL,170500010008,170500,GLOVERSVILLE CITY SD,17,FULTON,
GLOVERSVILLE CITY SCHOOL DISTRICT,170500010000,170500,GLOVERSVILLE CITY SD,17,FULTON,3612270
GLOVERSVILLE HIGH SCHOOL,170500010009,170500,GLOVERSVILLE CITY SD,17,FULTON,
KINGSBOROUGH SCHOOL,170500010011,170500,GLOVERSVILLE CITY SD,17,FULTON,
PARK TERRACE SCHOOL,170500010007,170500,GLOVERSVILLE CITY SD,17,FULTON,
BOULEVARD SCHOOL,170500010004,170500,GLOVERSVILLE CITY SD,17,FULTON,
PLEASANT AVENUE SCHOOL,170600010004,170600,JOHNSTOWN CITY SD,17,FULTON,
JOHNSTOWN HIGH SCHOOL,170600010006,170600,JOHNSTOWN CITY SD,17,FULTON,
JANSEN AVENUE ELEMENTARY SCHOOL,170600010002,170600,JOHNSTOWN CITY SD,17,FULTON,
JOHNSTOWN CITY SCHOOL DISTRICT,170600010000,170600,JOHNSTOWN CITY SD,17,FULTON,3615980
GLEBE STREET ELEMENTARY SCHOOL,170600010001,170600,JOHNSTOWN CITY SD,17,FULTON,
WARREN STREET SCHOOL,170600010005,170600,JOHNSTOWN CITY SD,17,FULTON,
KNOX JUNIOR HIGH SCHOOL,170600010007,170600,JOHNSTOWN CITY SD,17,FULTON,
KNOX MIDDLE SCHOOL,170600010009,170600,JOHNSTOWN CITY SD,17,FULTON,
MAYFIELD CENTRAL SCHOOL DISTRICT,170801040000,170801,MAYFIELD CSD,17,FULTON,3618750
MAYFIELD JR/SR HIGH SCHOOL,170801040002,170801,MAYFIELD CSD,17,FULTON,
MAYFIELD ELEMENTARY SCHOOL,170801040001,170801,MAYFIELD CSD,17,FULTON,
NORTHVILLE ELEMENTARY SCHOOL,170901040002,170901,NORTHVILLE CSD,17,FULTON,
NORTHVILLE HIGH SCHOOL,170901040001,170901,NORTHVILLE CSD,17,FULTON,
NORTHVILLE CENTRAL SCHOOL DISTRICT,170901040000,170901,NORTHVILLE CSD,17,FULTON,3621300
OPPENHEIM-EPHRATAH CENTRAL SCHOOL DISTRICT,171001040000,171001,OPPENHEIM-EPHRATAH CSD,17,FULTON,3621870
BROADALBIN-PERTH JUNIOR-SENIOR HIGH SCHOOL,171102040004,171102,BROADALBIN-PERTH CSD,17,FULTON,
BROADALBIN-PERTH MIDDLE SCHOOL,171102040003,171102,BROADALBIN-PERTH CSD,17,FULTON,
LEARNING COMMUNITY AT BROADALBIN-PERTH (THE),171102040002,171102,BROADALBIN-PERTH CSD,17,FULTON,
BROADALBIN-PERTH ELEMENTARY SCHOOL,171102040001,171102,BROADALBIN-PERTH CSD,17,FULTON,
BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,171102040000,171102,BROADALBIN-PERTH CSD,17,FULTON,3600005
ALEXANDER ELEMENTARY SCHOOL,180202040002,180202,ALEXANDER CSD,18,GENESEE,
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,180202040003,180202,ALEXANDER CSD,18,GENESEE,
ALEXANDER CENTRAL SCHOOL DISTRICT,180202040000,180202,ALEXANDER CSD,18,GENESEE,3602580
BATAVIA CITY SCHOOL DISTRICT,180300010000,180300,BATAVIA CITY SD,18,GENESEE,3603990
JOHN KENNEDY SCHOOL,180300010001,180300,BATAVIA CITY SD,18,GENESEE,
JACKSON SCHOOL,180300010003,180300,BATAVIA CITY SD,18,GENESEE,
ROBERT MORRIS SCHOOL,180300010004,180300,BATAVIA CITY SD,18,GENESEE,
BATAVIA MIDDLE SCHOOL,180300010005,180300,BATAVIA CITY SD,18,GENESEE,
BATAVIA HIGH SCHOOL,180300010006,180300,BATAVIA CITY SD,18,GENESEE,
NEW YORK STATE SCHOOL FOR THE BLIND,180300877197,180300,BATAVIA CITY SD,18,GENESEE,3600133
BYRON-BERGEN CENTRAL SCHOOL DISTRICT,180701040000,180701,BYRON-BERGEN CSD,18,GENESEE,3606090
BYRON-BERGEN MIDDLE SCHOOL,180701040005,180701,BYRON-BERGEN CSD,18,GENESEE,
BYRON-BERGEN JUNIOR/SENIOR HIGH SCHOOL,180701040001,180701,BYRON-BERGEN CSD,18,GENESEE,
BYRON-BERGEN ELEMENTARY SCHOOL,180701040004,180701,BYRON-BERGEN CSD,18,GENESEE,
ELBA CENTRAL SCHOOL DISTRICT,180901040000,180901,ELBA CSD,18,GENESEE,3610380
ELBA JUNIOR-SENIOR HIGH SCHOOL,180901040002,180901,ELBA CSD,18,GENESEE,
ELBA ELEMENTARY SCHOOL,180901040001,180901,ELBA CSD,18,GENESEE,
WOLCOTT STREET SCHOOL,181001060001,181001,LE ROY CSD,18,GENESEE,
LE ROY CENTRAL SCHOOL DISTRICT,181001060000,181001,LE ROY CSD,18,GENESEE,3616950
LE ROY JUNIOR-SENIOR HIGH SCHOOL,181001060002,181001,LE ROY CSD,18,GENESEE,
OAKFIELD-ALABAMA ELEMENTARY SCHOOL,181101040006,181101,OAKFIELD-ALABAMA CSD,18,GENESEE,
OAKFIELD-ALABAMA CENTRAL SCHOOL DISTRICT,181101040000,181101,OAKFIELD-ALABAMA CSD,18,GENESEE,3621510
OAKFIELD-ALABAMA MIDDLE SCHOOL HIGH SCHOOL,181101040001,181101,OAKFIELD-ALABAMA CSD,18,GENESEE,
PAVILION JUNIOR-SENIOR HIGH SCHOOL,181201040001,181201,PAVILION CSD,18,GENESEE,
PAVILION CENTRAL SCHOOL DISTRICT,181201040000,181201,PAVILION CSD,18,GENESEE,3622500
D B BUNCE ELEMENTARY SCHOOL,181201040002,181201,PAVILION CSD,18,GENESEE,
PEMBROKE PRIMARY SCHOOL,181302040003,181302,PEMBROKE CSD,18,GENESEE,
PEMBROKE JUNIOR-SENIOR HIGH SCHOOL,181302040002,181302,PEMBROKE CSD,18,GENESEE,
PEMBROKE CENTRAL SCHOOL DISTRICT,181302040000,181302,PEMBROKE CSD,18,GENESEE,3608340
PEMBROKE INTERMEDIATE SCHOOL,181302040001,181302,PEMBROKE CSD,18,GENESEE,
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,190301040000,190301,CAIRO-DURHAM CSD,19,GREENE,3606160
CAIRO-DURHAM MIDDLE SCHOOL,190301040004,190301,CAIRO-DURHAM CSD,19,GREENE,
CAIRO-DURHAM HIGH SCHOOL,190301040003,190301,CAIRO-DURHAM CSD,19,GREENE,
CAIRO-DURHAM ELEMENTARY SCHOOL,190301040002,190301,CAIRO-DURHAM CSD,19,GREENE,
CAIRO-DURHAM ELEMENTARY SCHOOL,190301040001,190301,CAIRO-DURHAM CSD,19,GREENE,
CATSKILL SENIOR HIGH SCHOOL,190401060003,190401,CATSKILL CSD,19,GREENE,
CATSKILL ELEMENTARY SCHOOL,190401060008,190401,CATSKILL CSD,19,GREENE,
CATSKILL CENTRAL SCHOOL DISTRICT,190401060000,190401,CATSKILL CSD,19,GREENE,3606720
CATSKILL MIDDLE SCHOOL,190401060007,190401,CATSKILL CSD,19,GREENE,
COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,190501040000,190501,COXSACKIE-ATHENS CSD,19,GREENE,3608490
COXSACKIE ELEMENTARY SCHOOL,190501040002,190501,COXSACKIE-ATHENS CSD,19,GREENE,
EDWARD J ARTHUR ELEMENTARY SCHOOL,190501040003,190501,COXSACKIE-ATHENS CSD,19,GREENE,
COXSACKIE-ATHENS MIDDLE SCHOOL,190501040004,190501,COXSACKIE-ATHENS CSD,19,GREENE,
COXSACKIE-ATHENS HIGH SCHOOL,190501040001,190501,COXSACKIE-ATHENS CSD,19,GREENE,
GREENVILLE MIDDLE SCHOOL,190701040001,190701,GREENVILLE CSD,19,GREENE,
GREENVILLE HIGH SCHOOL,190701040004,190701,GREENVILLE CSD,19,GREENE,
GREENVILLE CENTRAL SCHOOL DISTRICT,190701040000,190701,GREENVILLE CSD,19,GREENE,3612870
SCOTT M ELLIS ELEMENTARY SCHOOL,190701040005,190701,GREENVILLE CSD,19,GREENE,
HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,190901040000,190901,HUNTER-TANNERSVILLE CSD,19,GREENE,3615060
HUNTER ELEMENTARY SCHOOL,190901040003,190901,HUNTER-TANNERSVILLE CSD,19,GREENE,
HUNTER-TANNERSVILLE MIDDLE SCHOOL HIGH SCHOOL,190901040001,190901,HUNTER-TANNERSVILLE CSD,19,GREENE,
WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT,191401040000,191401,WINDHAM-ASHLAND-JEWETT CSD,19,GREENE,3631590
WINDHAM ASHLAND CENTRAL SCHOOL,191401040001,191401,WINDHAM-ASHLAND-JEWETT CSD,19,GREENE,
OTSEGO-DELAWARE-SCHOHARIE-GREENE BOCES,199000000000,199000,BOCES OTSEGO-DELAW-SCHOHARIE-GREENE,12,DELAWARE,3680380
PISECO COMMON SCHOOL DISTRICT,200101080000,200101,PISECO COMN SD,20,HAMILTON,3623130
PISECO ELEMENTARY SCHOOL,200101080001,200101,PISECO COMN SD,20,HAMILTON,
INDIAN LAKE CENTRAL SCHOOL DISTRICT,200401040000,200401,INDIAN LAKE CSD,20,HAMILTON,3615270
INDIAN LAKE CENTRAL SCHOOL,200401040001,200401,INDIAN LAKE CSD,20,HAMILTON,
INLET COMMON SCHOOL DISTRICT,200501080000,200501,INLET COMN SD,20,HAMILTON,3615330
INLET ELEMENTARY SCHOOL,200501080001,200501,INLET COMN SD,20,HAMILTON,
LAKE PLEASANT SCHOOL,200601040001,200601,LAKE PLEASANT CSD,20,HAMILTON,
LAKE PLEASANT CENTRAL SCHOOL DISTRICT,200601040000,200601,LAKE PLEASANT CSD,20,HAMILTON,3616530
LONG LAKE CENTRAL SCHOOL,200701040001,200701,LONG LAKE CSD,20,HAMILTON,
LONG LAKE CENTRAL SCHOOL DISTRICT,200701040000,200701,LONG LAKE CSD,20,HAMILTON,3617760
RAQUETTE LAKE ELEMENTARY SCHOOL,200702020001,200702,RAQUETTE LAKE UFSD,20,HAMILTON,
RAQUETTE LAKE UNION FREE SCHOOL DISTRICT,200702020000,200702,RAQUETTE LAKE UFSD,20,HAMILTON,3624120
WELLS CENTRAL SCHOOL DISTRICT,200901040000,200901,WELLS CSD,20,HAMILTON,3630450
WELLS SCHOOL,200901040001,200901,WELLS CSD,20,HAMILTON,
HAMILTON-FULTON-MONTGOMERY BOCES,209000000000,209000,BOCES HAMILTON-FULTON-MONTGOMERY,27,MONTGOMERY,3680400
WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,210302040000,210302,WEST CANADA VALLEY CSD,21,HERKIMER,3630600
WEST CANADA VALLEY JUNIOR-SENIOR HIGH SCHOOL,210302040003,210302,WEST CANADA VALLEY CSD,21,HERKIMER,
WEST CANADA VALLEY ELEMENTARY SCHOOL,210302040005,210302,WEST CANADA VALLEY CSD,21,HERKIMER,
FRANKFORT-SCHUYLER MIDDLE SCHOOL,210402060005,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,
FRANKFORT-SCHUYLER CENTRAL HIGH SCHOOL,210402060001,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,
UTICA ACADEMY OF SCIENCE CHARTER SCHOOL,210402861058,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,3601084
FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,210402060000,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,3611400
WEST FRANKFORT ELEMENTARY SCHOOL,210402060002,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,
FRANKFORT-SCHUYLER ELEMENTARY SCHOOL,210402060003,210402,FRANKFORT-SCHUYLER CSD,21,HERKIMER,
ILION CENTRAL SCHOOL DISTRICT,210501060000,210501,ILION CSD,21,HERKIMER,3615240
MOHAWK CENTRAL SCHOOL DISTRICT,210502040000,210502,MOHAWK CSD,21,HERKIMER,3619590
HERKIMER HIGH SCHOOL,210601060005,210601,HERKIMER CSD,21,HERKIMER,
HERKIMER ELEMENTARY SCHOOL,210601060006,210601,HERKIMER CSD,21,HERKIMER,
HERKIMER CENTRAL SCHOOL DISTRICT,210601060000,210601,HERKIMER CSD,21,HERKIMER,3614220
LITTLE FALLS MIDDLE SCHOOL,210800050006,210800,LITTLE FALLS CITY SD,21,HERKIMER,
LITTLE FALLS HIGH SCHOOL,210800050005,210800,LITTLE FALLS CITY SD,21,HERKIMER,
BENTON HALL ACADEMY,210800050001,210800,LITTLE FALLS CITY SD,21,HERKIMER,
LITTLE FALLS CITY SCHOOL DISTRICT,210800050000,210800,LITTLE FALLS CITY SD,21,HERKIMER,3617460
JAMES A GREEN JUNIOR-SENIOR HIGH SCHOOL,211003040002,211003,DOLGEVILLE CSD,21,HERKIMER,
DOLGEVILLE CENTRAL SCHOOL DISTRICT,211003040000,211003,DOLGEVILLE CSD,21,HERKIMER,3600001
DOLGEVILLE ELEMENTARY SCHOOL,211003040001,211003,DOLGEVILLE CSD,21,HERKIMER,
DOLGEVILLE MIDDLE SCHOOL,211003040004,211003,DOLGEVILLE CSD,21,HERKIMER,
POLAND JUNIOR-SENIOR HIGH SCHOOL,211103040001,211103,POLAND CSD,21,HERKIMER,
POLAND ELEMENTARY SCHOOL,211103040003,211103,POLAND CSD,21,HERKIMER,
POLAND CENTRAL SCHOOL DISTRICT,211103040000,211103,POLAND CSD,21,HERKIMER,3623370
OWEN D YOUNG CENTRAL SCHOOL,211701040001,211701,VAN HORNESVILLE-OWEN D. YOUNG CSD,21,HERKIMER,
VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,211701040000,211701,VAN HORNESVILLE-OWEN D. YOUNG CSD,21,HERKIMER,3622200
TOWN OF WEBB UNION FREE SCHOOL DISTRICT,211901020000,211901,TOWN OF WEBB UFSD,21,HERKIMER,3628800
TOWN OF WEBB SCHOOL,211901020001,211901,TOWN OF WEBB UFSD,21,HERKIMER,
MOUNT MARKHAM SENIOR HIGH SCHOOL,212001040003,212001,MOUNT MARKHAM CSD,21,HERKIMER,
MOUNT MARKHAM MIDDLE SCHOOL,212001040005,212001,MOUNT MARKHAM CSD,21,HERKIMER,
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,212001040000,212001,MOUNT MARKHAM CSD,21,HERKIMER,3630930
MOUNT MARKHAM ELEMENTARY SCHOOL,212001040002,212001,MOUNT MARKHAM CSD,21,HERKIMER,
CENTRAL VALLEY ACADEMY,212101040005,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,
BARRINGER ROAD ELEMENTARY SCHOOL,212101040006,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,
REMINGTON SCHOOL,212101040007,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,
GREGORY B JARVIS MIDDLE SCHOOL,212101040001,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,
HARRY M FISHER ELEMENTARY SCHOOL,212101040002,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,
CENTRAL VALLEY CSD AT ILION-MOHAWK,212101040000,212101,CENTRAL VALLEY CSD AT ILION-MOHAWK,21,HERKIMER,3601087
HERKIMER-FULTON-HAMILTON-OTSEGO BOCES,219000000000,219000,BOCES HERK-FULTON-HAMILTON-OTSEGO,21,HERKIMER,3680420
SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,220101040000,220101,SOUTH JEFFERSON CSD,22,JEFFERSON,3602340
MANNSVILLE MANOR ELEMENTARY SCHOOL,220101040004,220101,SOUTH JEFFERSON CSD,22,JEFFERSON,
MAYNARD P WILSON ELEMENTARY SCHOOL,220101040003,220101,SOUTH JEFFERSON CSD,22,JEFFERSON,
SOUTH JEFFERSON HIGH SCHOOL,220101040002,220101,SOUTH JEFFERSON CSD,22,JEFFERSON,
CLARKE MIDDLE SCHOOL,220101040006,220101,SOUTH JEFFERSON CSD,22,JEFFERSON,
ALEXANDRIA CENTRAL ELEMENTARY SCHOOL,220202040001,220202,ALEXANDRIA CSD,22,JEFFERSON,
ALEXANDRIA CENTRAL HIGH SCHOOL,220202040002,220202,ALEXANDRIA CSD,22,JEFFERSON,
ALEXANDRIA CENTRAL SCHOOL DISTRICT,220202040000,220202,ALEXANDRIA CSD,22,JEFFERSON,3602670
INDIAN RIVER MIDDLE SCHOOL,220301060008,220301,INDIAN RIVER CSD,22,JEFFERSON,
INDIAN RIVER CENTRAL SCHOOL DISTRICT,220301060000,220301,INDIAN RIVER CSD,22,JEFFERSON,3615300
THERESA PRIMARY SCHOOL,220301060004,220301,INDIAN RIVER CSD,22,JEFFERSON,
INDIAN RIVER INTERMEDIATE SCHOOL,220301060010,220301,INDIAN RIVER CSD,22,JEFFERSON,
EVANS MILLS PRIMARY SCHOOL,220301060002,220301,INDIAN RIVER CSD,22,JEFFERSON,
ANTWERP PRIMARY SCHOOL,220301060001,220301,INDIAN RIVER CSD,22,JEFFERSON,
INDIAN RIVER HIGH SCHOOL,220301060007,220301,INDIAN RIVER CSD,22,JEFFERSON,
PHILADELPHIA PRIMARY SCHOOL,220301060003,220301,INDIAN RIVER CSD,22,JEFFERSON,
CALCIUM PRIMARY SCHOOL,220301060009,220301,INDIAN RIVER CSD,22,JEFFERSON,
GENERAL BROWN CENTRAL SCHOOL DISTRICT,220401040000,220401,GENERAL BROWN CSD,22,JEFFERSON,3611910
GENERAL BROWN JUNIOR-SENIOR HIGH SCHOOL,220401040004,220401,GENERAL BROWN CSD,22,JEFFERSON,
BROWNVILLE SCHOOL,220401040002,220401,GENERAL BROWN CSD,22,JEFFERSON,
DEXTER ELEMENTARY SCHOOL,220401040003,220401,GENERAL BROWN CSD,22,JEFFERSON,
THOUSAND ISLANDS MIDDLE SCHOOL,220701040004,220701,THOUSAND ISLANDS CSD,22,JEFFERSON,
THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,220701040000,220701,THOUSAND ISLANDS CSD,22,JEFFERSON,3607650
THOUSAND ISLANDS HIGH SCHOOL,220701040003,220701,THOUSAND ISLANDS CSD,22,JEFFERSON,
BASHAW ELEMENTARY SCHOOL,220701040002,220701,THOUSAND ISLANDS CSD,22,JEFFERSON,
GUARDINO ELEMENTARY SCHOOL,220701040001,220701,THOUSAND ISLANDS CSD,22,JEFFERSON,
BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,220909040000,220909,BELLEVILLE HENDERSON CSD,22,JEFFERSON,3604370
BELLEVILLE HENDERSON CENTRAL SCHOOL,220909040010,220909,BELLEVILLE HENDERSON CSD,22,JEFFERSON,
SACKETS HARBOR CENTRAL SCHOOL DISTRICT,221001040000,221001,SACKETS HARBOR CSD,22,JEFFERSON,3614880
SACKETS HARBOR CENTRAL SCHOOL,221001040001,221001,SACKETS HARBOR CSD,22,JEFFERSON,
LYME CENTRAL SCHOOL DISTRICT,221301040000,221301,LYME CSD,22,JEFFERSON,3617880
LYME CENTRAL SCHOOL,221301040001,221301,LYME CSD,22,JEFFERSON,
LA FARGEVILLE CENTRAL SCHOOL,221401040001,221401,LA FARGEVILLE CSD,22,JEFFERSON,
LA FARGEVILLE CENTRAL SCHOOL DISTRICT,221401040000,221401,LA FARGEVILLE CSD,22,JEFFERSON,3616380
HAROLD T WILEY SCHOOL,222000010017,222000,WATERTOWN CITY SD,22,JEFFERSON,
SHERMAN SCHOOL,222000010010,222000,WATERTOWN CITY SD,22,JEFFERSON,
STARBUCK ELEMENTARY SCHOOL,222000010011,222000,WATERTOWN CITY SD,22,JEFFERSON,
WATERTOWN CITY SCHOOL DISTRICT,222000010000,222000,WATERTOWN CITY SD,22,JEFFERSON,3630120
OHIO STREET SCHOOL,222000010015,222000,WATERTOWN CITY SD,22,JEFFERSON,
WATERTOWN SENIOR HIGH SCHOOL,222000010016,222000,WATERTOWN CITY SD,22,JEFFERSON,
CASE MIDDLE SCHOOL,222000010013,222000,WATERTOWN CITY SD,22,JEFFERSON,
KNICKERBOCKER SCHOOL,222000010007,222000,WATERTOWN CITY SD,22,JEFFERSON,
NORTH ELEMENTARY SCHOOL,222000010014,222000,WATERTOWN CITY SD,22,JEFFERSON,
CARTHAGE MIDDLE SCHOOL,222201060011,222201,CARTHAGE CSD,22,JEFFERSON,
WEST CARTHAGE ELEMENTARY SCHOOL,222201060006,222201,CARTHAGE CSD,22,JEFFERSON,
CARTHAGE ELEMENTARY SCHOOL,222201060005,222201,CARTHAGE CSD,22,JEFFERSON,
BLACK RIVER SCHOOL,222201060002,222201,CARTHAGE CSD,22,JEFFERSON,
CARTHAGE CENTRAL SCHOOL DISTRICT,222201060000,222201,CARTHAGE CSD,22,JEFFERSON,3606630
CARTHAGE SENIOR HIGH SCHOOL,222201060001,222201,CARTHAGE CSD,22,JEFFERSON,
JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES,229000000000,229000,BOCES JEFFER-LEWIS-HAMIL-HERK-ONEIDA,22,JEFFERSON,3680440
COPENHAGEN CENTRAL SCHOOL,230201040001,230201,COPENHAGEN CSD,23,LEWIS,
COPENHAGEN CENTRAL SCHOOL DISTRICT,230201040000,230201,COPENHAGEN CSD,23,LEWIS,3608280
HARRISVILLE ELEMENTARY SCHOOL,230301040001,230301,HARRISVILLE CSD,23,LEWIS,
HARRISVILLE JUNIOR-SENIOR HIGH SCHOOL,230301040002,230301,HARRISVILLE CSD,23,LEWIS,
HARRISVILLE CENTRAL SCHOOL DISTRICT,230301040000,230301,HARRISVILLE CSD,23,LEWIS,3613770
LOWVILLE MIDDLE SCHOOL,230901040003,230901,LOWVILLE ACAD & CSD,23,LEWIS,
LOWVILLE ELEMENTARY SCHOOL,230901040001,230901,LOWVILLE ACAD & CSD,23,LEWIS,
LOWVILLE HIGH SCHOOL,230901040002,230901,LOWVILLE ACAD & CSD,23,LEWIS,
LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,230901040000,230901,LOWVILLE ACAD & CSD,23,LEWIS,3617820
GLENFIELD ELEMENTARY SCHOOL,231101040005,231101,SOUTH LEWIS CSD,23,LEWIS,
SOUTH LEWIS MIDDLE SCHOOL,231101040006,231101,SOUTH LEWIS CSD,23,LEWIS,
PORT LEYDEN ELEMENTARY SCHOOL,231101040008,231101,SOUTH LEWIS CSD,23,LEWIS,
CONSTABLEVILLE ELEMENTARY SCHOOL,231101040004,231101,SOUTH LEWIS CSD,23,LEWIS,
SOUTH LEWIS HIGH SCHOOL,231101040007,231101,SOUTH LEWIS CSD,23,LEWIS,
SOUTH LEWIS ELEMENTARY SCHOOL,231101040009,231101,SOUTH LEWIS CSD,23,LEWIS,03734
SOUTH LEWIS CENTRAL SCHOOL DISTRICT,231101040000,231101,SOUTH LEWIS CSD,23,LEWIS,3627360
BEAVER RIVER MIDDLE SCHOOL,231301040004,231301,BEAVER RIVER CSD,23,LEWIS,
BEAVER RIVER CENTRAL SCHOOL DISTRICT,231301040000,231301,BEAVER RIVER CSD,23,LEWIS,3604200
BEAVER RIVER SENIOR HIGH SCHOOL,231301040002,231301,BEAVER RIVER CSD,23,LEWIS,
BEAVER RIVER ELEMENTARY SCHOOL,231301040001,231301,BEAVER RIVER CSD,23,LEWIS,
AVON CENTRAL SCHOOL DISTRICT,240101040000,240101,AVON CSD,24,LIVINGSTON,3603660
AVON PRIMARY SCHOOL,240101040001,240101,AVON CSD,24,LIVINGSTON,
AVON HIGH SCHOOL,240101040002,240101,AVON CSD,24,LIVINGSTON,
AVON MIDDLE SCHOOL,240101040003,240101,AVON CSD,24,LIVINGSTON,
CALEDONIA-MUMFORD MIDDLE/HIGH SCHOOL,240201040002,240201,CALEDONIA-MUMFORD CSD,24,LIVINGSTON,
CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,240201040000,240201,CALEDONIA-MUMFORD CSD,24,LIVINGSTON,3606180
CALEDONIA-MUMFORD MIDDLE SCHOOL,240201040003,240201,CALEDONIA-MUMFORD CSD,24,LIVINGSTON,
CALEDONIA-MUMFORD ELEMENTARY SCHOOL,240201040001,240201,CALEDONIA-MUMFORD CSD,24,LIVINGSTON,
LIVINGSTON COUNTY JAIL,240401950001,240401,GENESEO CSD,24,LIVINGSTON,
GENESEO ELEMENTARY SCHOOL,240401040002,240401,GENESEO CSD,24,LIVINGSTON,
GENESEO CENTRAL SCHOOL DISTRICT,240401040000,240401,GENESEO CSD,24,LIVINGSTON,3611940
GENESEO MIDDLE SCHOOL HIGH SCHOOL,240401040001,240401,GENESEO CSD,24,LIVINGSTON,
LIVONIA CENTRAL SCHOOL DISTRICT,240801060000,240801,LIVONIA CSD,24,LIVINGSTON,3617640
LIVONIA INTERMEDIATE SCHOOL,240801060004,240801,LIVONIA CSD,24,LIVINGSTON,
LIVONIA MIDDLE SCHOOL,240801060003,240801,LIVONIA CSD,24,LIVINGSTON,
LIVONIA MIDDLE/HIGH SCHOOL,240801060002,240801,LIVONIA CSD,24,LIVINGSTON,
LIVONIA ELEMENTARY SCHOOL,240801060001,240801,LIVONIA CSD,24,LIVINGSTON,
MOUNT MORRIS ELEMENTARY SCHOOL,240901040002,240901,MT MORRIS CSD,24,LIVINGSTON,
MOUNT MORRIS CENTRAL SCHOOL DISTRICT,240901040000,240901,MT MORRIS CSD,24,LIVINGSTON,3620010
MOUNT MORRIS MIDDLE/SENIOR HIGH SCHOOL,240901040001,240901,MT MORRIS CSD,24,LIVINGSTON,
DANSVILLE PRIMARY SCHOOL,241001060004,241001,DANSVILLE CSD,24,LIVINGSTON,
ELLIS B HYDE ELEMENTARY SCHOOL,241001060001,241001,DANSVILLE CSD,24,LIVINGSTON,
DANSVILLE HIGH SCHOOL,241001060003,241001,DANSVILLE CSD,24,LIVINGSTON,
DANSVILLE MIDDLE SCHOOL,241001060002,241001,DANSVILLE CSD,24,LIVINGSTON,
DANSVILLE CENTRAL SCHOOL DISTRICT,241001060000,241001,DANSVILLE CSD,24,LIVINGSTON,3608790
DALTON-NUNDA SECONDARY SCHOOL,241101040003,241101,DALTON-NUNDA CSD (KESHEQUA),24,LIVINGSTON,
DALTON-NUNDA ELEMENTARY SCHOOL,241101040002,241101,DALTON-NUNDA CSD (KESHEQUA),24,LIVINGSTON,
DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),241101040000,241101,DALTON-NUNDA CSD (KESHEQUA),24,LIVINGSTON,3621450
DALTON-NUNDA MIDDLE SCHOOL,241101040001,241101,DALTON-NUNDA CSD (KESHEQUA),24,LIVINGSTON,
YORK CENTRAL SCHOOL DISTRICT,241701040000,241701,YORK CSD,24,LIVINGSTON,3631950
YORK MIDDLE SCHOOL,241701040005,241701,YORK CSD,24,LIVINGSTON,
YORK CENTRAL ELEMENTARY SCHOOL,241701040003,241701,YORK CSD,24,LIVINGSTON,
